Use,InitSel,ID#,Name,Designation,IAU/aliases/other,Diameter,Mass,GM
n,n,0,Solar System Barycenter,,SSB,,,
n,n,1,Mercury Barycenter,,,,,
n,n,2,Venus Barycenter,,,,,
n,n,3,Earth-Moon Barycenter,,EMB,,,
n,n,4,Mars Barycenter,,,,,
n,n,5,Jupiter Barycenter,,,,,
n,n,6,Saturn Barycenter,,,,,
n,n,7,Uranus Barycenter,,,,,
n,n,8,Neptune Barycenter,,,,,
n,n,9,Pluto Barycenter,,,,,
y,y,10,Sun,,Sol,1.3927E+06,1.9885E+30,1.32712E+11
n,n,31,SEMB-L1,,Lagrange,,,
n,n,32,SEMB-L2,,Lagrange,,,
n,n,34,SEMB-L4,,Lagrange,,,
n,n,35,SEMB-L5,,Lagrange,,,
y,y,199,Mercury,,,4.8794E+03,3.3020E+23,22031.86855
y,y,299,Venus,,,1.2104E+04,4.8685E+24,22031.86855
y,y,301,Moon,,Luna,3.4748E+03,7.3490E+22,4902.800066
y,y,399,Earth,,Geocenter,7.9175E+03,5.9722E+24,398600.4354
y,y,401,Phobos,,MI,2.2533E+01,1.0800E+16,
y,y,402,Deimos,,MII,1.2400E+01,1.8000E+15,
y,y,499,Mars,,,6.7790E+03,6.4171E+23,42828.37521
y,n,501,Io,,JI,3.6432E+03,8.9319E+22,5959.9155
y,n,502,Europa,,JII,3.1216E+03,4.8000E+22,3202.7121
y,n,503,Ganymede,,JIII,5.2682E+03,1.4819E+23,9887.8328
y,n,504,Callisto,,JIV,4.8206E+03,1.0759E+23,7179.2834
y,n,505,Amalthea,,JV,1.6700E+02,7.1700E+18,0.1646
y,n,506,Himalia,,JVI,1.7000E+02,4.2000E+18,0.151552
n,n,507,Elara,,JVII,,,
n,n,508,Pasiphae,,JVIII,,,
n,n,509,Sinope,,JIX,,,
n,n,510,Lysithea,,JX,,,
n,n,511,Carme,,JXI,,,
n,n,512,Ananke,,JXII,,,
n,n,513,Leda,,JXIII,,,
y,n,514,Thebe,,JXIV,9.8600E+01,4.3000E+17,0.0301
y,n,515,Adrastea,,JXV,1.6400E+01,1.9100E+16,0.0001
n,n,516,Metis,,JXVI,4.5000E+01,,0.0025
n,n,517,Callirrhoe,1999J1,JXVII,,,
n,n,518,Themisto,1975J1,JXVIII 2000J1,,,
n,n,519,Megaclite,2000J8,JXIX,,,
n,n,520,Taygete,2000J9,JXX,,,
n,n,521,Chaldene,2000J10,JXXI,,,
n,n,522,Harpalyke,2000J5,JXXII,,,
n,n,523,Kalyke,2000J2,JXXIII,,,
n,n,524,Iocaste,2000J3,JXXIV,,,
n,n,525,Erinome,2000J4,JXXV,,,
n,n,526,Isonoe,2000J6,JXXVI,,,
n,n,527,Praxidike,2000J7,JXXVII,,,
n,n,528,Autonoe,2001J1,JXXVIII,,,
n,n,529,Thyone,2001J2,JXXIX,,,
n,n,530,Hermippe,2001J3,JXXX,,,
n,n,531,Aitne,2001J11,JXXXI,,,
n,n,532,Eurydome,2001J4,JXXXII,,,
n,n,533,Euanthe,2001J7,JXXXIII,,,
n,n,534,Euporie,2001J10,JXXXIV,,,
n,n,535,Orthosie,2001J9,JXXXV,,,
n,n,536,Sponde,2001J5,JXXXVI,,,
n,n,537,Kale,2001J8,JXXXVII,,,
n,n,538,Pasithee,2001J6,JXXXVIII,,,
n,n,539,Hegemone,2003J8,JXXXIX,,,
n,n,540,Mneme,2003J21,JXL,,,
n,n,541,Aoede,2003J7,JXLI,,,
n,n,542,Thelxinoe,2003J22,JXLII,,,
n,n,543,Arche,2002J1,JXLIII,,,
n,n,544,Kallichore,2003J11,JXLIV,,,
n,n,545,Helike,2003J6,JXLV,,,
n,n,546,Carpo,2003J20,JXLVI,,,
n,n,547,Eukelade,2003J1,JXLVII,,,
n,n,548,Cyllene,2003J13,JXLVIII,,,
n,n,549,Kore,2003J14,JXLIX,,,
n,n,550,Herse,2003J17,JXLXII,,,
n,n,551,,2010J1,JLI,,,
n,n,552,,2010J2,JLII,,,
n,n,553,Dia,2000J11,JLIII,,,
n,n,554,,2016J1,JLIV,,,
n,n,555,,2003J18,JLV 55069,,,
n,n,556,,2011J2,JLVI 55075,,,
n,n,557,Eirene,2003J5,JLVII 55063,,,
n,n,558,Philophrosyne,2003J15,JLVIII 55067,,,
n,n,559,,2017J1,JLIX,,,
n,n,560,Eupheme,2003J3,JLX 55061,,,
n,n,561,,2003J19,55070,,,
n,n,562,Valetudo,2016J2,55078,,,
n,n,563,,2017J2,55079,,,
n,n,564,,2017J3,55080,,,
n,n,565,Pandia,2017J4,JLXV 55081,,,
n,n,566,,2017J5,55082,,,
n,n,567,,2017J6,55083,,,
n,n,568,,2017J7,55084,,,
n,n,569,,2017J8,55085,,,
n,n,570,,2017J9,JLXX 55086,,,
n,n,571,Ersa,2018J1,55087,,,
n,n,572,,2011J1,55074,,,
n,n,55501,,2003J2,55060,,,
n,n,55502,,2003J4,55062,,,
n,n,55503,,2003J9,55064,,,
n,n,55504,,2003J10,55065,,,
n,n,55505,,2003J12,55066,,,
n,n,55506,,2003J16,55068,,,
n,n,55507,,2003J23,55071,,,
y,y,599,Jupiter,,,1.3982E+05,1.8982E+30,126686531.9
n,n,601,Mimas,,SI,3.9640E+02,,2.503617
n,n,602,Enceladus,,SII,5.0420E+02,,7.210497
n,n,603,Tethys,,SIII,1.0620E+03,,41.21
n,n,604,Dione,,SIV,1.1228E+03,,73.116
n,n,605,Rhea,,SV,1.5276E+03,,153.94
n,n,606,Titan,,SVI,5.1495E+03,,8978.14
n,n,607,Hyperion,,SVII,2.7300E+02,,0.3704
n,n,608,Iapetus,,SVIII,1.4690E+03,,120.51
n,n,609,Phoebe,,SIX,2.1300E+02,,0.5581
y,n,610,Janus,,SX,8.9500E+01,1.9800E+18,
y,n,611,Epimetheus,,SXI,5.8000E+01,5.5000E+17,
n,n,612,Helene,,SXII,3.0000E+01,,0.00045516
n,n,613,Telesto,,SXIII,2.5000E+01,,0.00048
n,n,614,Calypso,,SXIV,1.0700E+01,,0.00024
n,n,615,Atlas,,SXV,,,
y,n,616,Prometheus,,SXVI,9.0000E+01,1.4000E+17,
y,n,617,Pandora,,SXVII,9.0000E+01,1.3000E+17,
n,n,618,Pan,,SXVIII,,,
n,n,619,Ymir,2000S1,SXIX,,,
n,n,620,Paaliaq,2000S2,SXX,,,
n,n,621,Tarvos,2000S4,SXXI,,,
n,n,622,Ijiraq,2000S6,SXXII,,,
n,n,623,Suttungr,2000S12,SXXIII,,,
n,n,624,Kiviuq,2000S5,SXXIV,,,
n,n,625,Mundilfari,2000S9,SXXV,,,
n,n,626,Albiorix,2000S11,SXXVI,,,
n,n,627,Skathi,2000S8,SXXVII,,,
n,n,628,Erriapus,2000S10,SXXVIII,,,
n,n,629,Siarnaq,2000S3,SXXIX,,,
n,n,630,Thrymr,2000S7,SXXX,,,
n,n,631,Narvi,2003S1,SXXXI,,,
n,n,632,Methone,2004S1,SXXXII,,,
n,n,633,Pallene,2004S2,SXXXIII,,,
n,n,634,Polydeuces,2004S5,SXXXIV,,,
n,n,635,Daphnis,2005S1,SXXXV,,,
n,n,636,Aegir,2004S10,SXXXVI 65038,,,
n,n,637,Bebhionn,2004S11,SXXXVII 65039,,,
n,n,638,Bergelmir,2004S15,SXXXVIII 65043,,,
n,n,639,Bestla,2004S18,SXXXIX 65046,,,
n,n,640,Farbauti,2004S9,SXL 65037,,,
n,n,641,Fenrir,2004S16,SXLI 65044,,,
n,n,642,Fornjot,2004S8,SXLII 65036,,,
n,n,643,Hati,2004S14,SXLIII,,,
n,n,644,Hyrrokkin,2004S19,SXLIV,,,
n,n,645,Kari,2006S2,SXLV,,,
n,n,646,Loge,2006S5,SXLVI,,,
n,n,647,Skoll,2006S8,SXLVII,,,
n,n,648,Surtur,2006S7,SXLVIII,,,
n,n,649,Anthe,2007S4,SXLIX,,,
n,n,650,Jarnsaxa,2006S6,SL,,,
n,n,651,Greip,2006S4,SLI,,,
n,n,652,Tarqeq,2007S1,SLII,,,
n,n,653,Aegaeon,2008S1,SLIII,,,
n,n,65035,,2004S7,,,,
n,n,65040,,2004S12,,,,
n,n,65041,,2004S13,,,,
n,n,65045,,2004S17,,,,
n,n,65048,,2006S1,,,,
n,n,65050,,2006S3,,,,
n,n,65055,,2007S2,,,,
n,n,65056,,2007S3,,,,
n,n,65065,,2004S27,,,,
n,n,65066,,2004S29,,,,
n,n,65067,,2004S31,,,,
n,n,65068,,2004S26,,,,
n,n,65069,,2004S35,,,,
n,n,65070,,2004S24,,,,
n,n,65071,,2004S23,,,,
n,n,65072,,2004S25,,,,
n,n,65073,,2004S22,,,,
n,n,65074,,2004S32,,,,
n,n,65075,,2004S33,,,,
n,n,65076,,2004S34,,,,
n,n,65077,,2004S28,,,,
n,n,65078,,2004S30,,,,
n,n,65079,,2004S21,,,,
n,n,65080,,2004S20,,,,
n,n,65081,,2004S36,,,,
n,n,65082,,2004S37,,,,
n,n,65083,,2004S38,,,,
n,n,65084,,2004S39,,,,
y,y,699,Saturn,,,1.1646E+05,5.6834E+26,37931206.16
y,n,701,Ariel,,UI,1.1000E+03,1.3530E+21,
y,n,702,Umbriel,,UII,1.1694E+03,1.1720E+21,
y,n,703,Titania,,UIII,1.5780E+03,3.5270E+21,
y,n,704,Oberon,,UIV,3.7500E+02,3.0140E+21,
y,n,705,Miranda,,UV,4.7000E+02,6.5900E+19,
n,n,706,Cordelia,,UVI,,,
n,n,707,Ophelia,,UVII,,,
n,n,708,Bianca,,UVIII,,,
n,n,709,Cressida,,UIX,,,
n,n,710,Desdemona,,UX,,,
n,n,711,Juliet,,UXI,,,
n,n,712,Portia,,UXII,,,
n,n,713,Rosalind,,UXIII,,,
n,n,714,Belinda,,UXIV,,,
n,n,715,Puck,,UXV,,,
n,n,716,Caliban,,UXVI,,,
n,n,717,Sycorax,,UXVII,,,
n,n,718,Prospero,1999U3,UXVIII,,,
n,n,719,Setebos,1999U1,UXIX,,,
n,n,720,Stephano,1999U2,UXX,,,
n,n,721,Trinculo,2001U1,UXXI,,,
n,n,722,Francisco,2001U3,UXXII,,,
n,n,723,Margaret,2003U3,UXXIII,,,
n,n,724,Ferdinand,2001U2,UXXIV,,,
n,n,725,Perdita,1986U10,UXXV,,,
n,n,726,Mab,2003U1,UXXVI,,,
n,n,727,Cupid,2003U2,UXXVII,,,
y,y,799,Uranus,,,5.0724E+04,8.6813E+25,5793951.322
n,n,801,Triton,,NI,,,1428.495
n,n,802,Nereid,,NII,,,
n,n,803,Naiad,,NIII,,,0.00853028
n,n,804,Thalassa,,NIV,,,0.0235887
n,n,805,Despina,,NV,,,0.116732
n,n,806,Galatea,,NVI,,,0.189899
n,n,807,Larissa,,NVII,,,0.254844
n,n,808,Proteus,,NVIII,,,2.58342
n,n,809,Halimede,2002N1,,,,
n,n,810,Psamathe,2003N1,,,,
n,n,811,Sao,2002N2,,,,
n,n,812,Laomedeia,2002N,,,,
n,n,813,Neso,2002N4,,,,
n,n,814,Hippocamp,2004N1,,,,
y,y,899,Neptune,,,3.0599E+04,1.0241E+26,6835099.97
y,n,901,Charon,,PI,1.2100E+02,1.5300E+21,102.271
n,n,902,Nix,,PII,,,
n,n,903,Hydra,,PIII,,,
